iter	Passed	Remaining
0	0	59
1	1	59
2	1	46
3	2	48
4	2	42
5	2	38
6	2	39
7	3	41
8	4	42
9	4	42
10	5	42
11	5	42
12	6	42
13	6	42
14	7	42
15	7	41
16	8	40
17	8	38
18	9	38
19	9	37
20	10	38
21	10	37
22	10	36
23	11	36
24	12	36
25	12	36
26	13	36
27	13	35
28	14	35
29	14	34
30	15	34
31	16	34
32	16	33
33	17	33
34	17	32
35	17	31
36	18	31
37	18	30
38	19	30
39	20	30
40	20	29
41	21	29
42	21	28
43	22	28
44	22	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	28	23
54	28	23
55	29	22
56	29	22
57	30	22
58	30	21
59	31	21
60	32	20
61	32	20
62	33	19
63	33	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	16
70	37	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	51	3
93	51	3
94	52	2
95	52	2
96	53	1
97	54	1
98	54	0
99	55	0
